City,Lat,Lng,Max Temp (C),Humidity (%),Cloudiness (%),Wind Speed (kph),Country,Date
Cape Town,-33.9258,18.4232,15.27,91,98,2.68,ZA,1622178009
Upernavik,72.7868,-56.1549,3.25,71,100,3.05,GL,1622178518
Vernon,50.2581,-119.2691,11.9,52,81,0.89,CA,1622178519
Lucea,18.451,-78.1736,25.48,83,3,2.9,JM,1622178519
Cap Malheureux,-19.9842,57.6142,26.37,70,9,3.13,MU,1622178520
Tuktoyaktuk,69.4541,-133.0374,-1.0,77,100,4.48,CA,1622178223
Saint Paul Harbor,57.79,-152.4072,9.8,82,100,1.38,US,1622178234
Kapaa,22.0752,-159.319,24.48,79,35,0.45,US,1622178223
Tiksi,71.6872,128.8694,2.93,85,100,3.25,RU,1622178357
Port Alfred,-33.5906,26.891,15.85,65,25,3.53,ZA,1622178300
Ushuaia,-54.8,-68.3,-2.23,91,100,3.87,AR,1622178225
Lompoc,34.6391,-120.4579,11.79,85,90,2.57,US,1622178200
Kimbe,-5.5502,150.1429,28.6,68,99,4.18,PG,1622178523
Port Lincoln,-34.7333,135.8667,16.17,58,98,4.06,AU,1622178341
Mar del Plata,-38.0023,-57.5575,14.65,42,0,5.36,AR,1622178341
Atuona,-9.8,-139.0333,26.19,72,82,5.43,PF,1622178197
Āsmār,35.0333,71.3581,32.19,17,0,1.26,AF,1622178525
Hermanus,-34.4187,19.2345,17.11,80,83,6.71,ZA,1622178278
Albany,42.6001,-73.9662,9.74,68,79,1.73,US,1622178243
Mount Gambier,-37.8333,140.7667,12.69,58,84,2.98,AU,1622178526
Punta Arenas,-53.15,-70.9167,-1.05,74,85,7.59,CL,1622178213
Bahār,34.9072,48.4414,22.09,43,0,0.95,IR,1622178428
Rikitea,-23.1203,-134.9692,21.72,59,22,1.71,PF,1622178219
Moindou,-21.6924,165.677,23.97,66,78,3.24,NC,1622178527
Saint-Philippe,-21.3585,55.7679,23.95,72,20,1.39,RE,1622178227
Port Blair,11.6667,92.75,29.93,70,33,3.44,IN,1622178250
Port Hardy,50.6996,-127.4199,8.98,90,100,2.73,CA,1622178036
Lithakia,37.7167,20.8333,20.6,52,0,1.54,GR,1622178528
Bredasdorp,-34.5322,20.0403,16.82,76,57,3.97,ZA,1622178223
Guhāgar,17.4842,73.1929,31.84,61,85,4.02,IN,1622178528
Santo Antônio de Jesus,-12.9689,-39.2614,16.14,95,6,0.94,BR,1622178529
Waingapu,-9.6567,120.2641,29.37,59,99,8.55,ID,1622178529
Cidreira,-30.1811,-50.2056,16.22,80,19,5.48,BR,1622178318
Busselton,-33.65,115.3333,23.91,68,23,7.48,AU,1622178230
Airai,-8.9266,125.4092,20.56,64,73,1.98,TL,1622178530
Severo-Kuril'sk,50.6789,156.125,4.68,83,74,4.06,RU,1622178531
Talnakh,69.4865,88.3972,-0.52,78,100,2.73,RU,1622178207
Shimoda,34.6667,138.95,25.62,62,100,6.94,JP,1622178532
Gorodishche,48.8045,44.4744,19.49,48,20,7.0,RU,1622178535
Castro,-24.7911,-50.0119,16.16,81,75,1.22,BR,1622178063
North Platte,41.1239,-100.7654,7.36,83,1,1.34,US,1622178536
Jamestown,42.097,-79.2353,11.2,72,1,1.79,US,1622178182
Faya,18.3851,42.4509,24.29,18,8,2.94,SA,1622178537
Khani,41.9563,42.9566,13.76,58,61,1.63,GE,1622178538
Nkoteng,4.5167,12.0333,19.99,99,93,0.82,CM,1622178539
Kruisfontein,-34.0033,24.7314,13.34,58,22,3.5,ZA,1622178540
Vardø,70.3705,31.1107,2.11,74,97,10.93,NO,1622178541
Dikson,73.5069,80.5464,-1.82,86,49,3.82,RU,1622178248
Huangpi,30.8845,114.3779,26.44,63,100,2.2,CN,1622178542
Quatre Cocos,-20.2078,57.7625,26.16,79,53,4.55,MU,1622178545
Krasnooktyabrskiy,44.9328,38.3712,21.1,76,43,2.45,RU,1622178546
Bluff,-46.6,168.3333,9.89,72,100,3.31,NZ,1622178203
Hualmay,-11.0964,-77.6139,18.48,91,53,2.75,PE,1622178548
Hithadhoo,-0.6,73.0833,27.57,79,98,8.04,MV,1622178244
Henties Bay,-22.116,14.2845,16.29,80,23,3.05,NA,1622178550
Zhigansk,66.7697,123.3711,14.42,46,38,7.5,RU,1622178551
Comodoro Rivadavia,-45.8667,-67.5,4.37,78,91,10.12,AR,1622178276
Banjar,-8.19,114.9675,29.92,73,45,1.42,ID,1622178552
Santa Cruz de la Sierra,-17.8,-63.1667,22.7,88,75,6.59,BO,1622178552
Krasnovishersk,60.4078,57.082,12.03,77,98,2.43,RU,1622178554
Saint George,37.1041,-113.5841,24.6,14,1,1.54,US,1622178343
Souillac,-20.5167,57.5167,25.21,78,75,2.99,MU,1622178265
Alihe,50.5667,123.7167,17.01,46,75,1.03,CN,1622178557
Luanda,-8.8368,13.2343,24.0,88,75,1.54,AO,1622178558
Sompeta,18.9333,84.6,34.1,61,6,4.14,IN,1622178559
Faanui,-16.4833,-151.75,26.97,72,7,3.47,PF,1622178319
Khadki,18.5667,73.8667,29.78,53,82,7.36,IN,1622178561
Le Port,-20.9373,55.2919,23.17,68,1,1.68,RE,1622178318
Beringovskiy,63.05,179.3167,0.85,92,100,2.68,RU,1622178563
Ipixuna,-1.7625,-48.8043,24.97,89,100,1.47,BR,1622178564
Port Augusta,-32.5,137.7667,18.17,49,100,4.15,AU,1622178565
Berlevåg,70.8578,29.0864,1.97,75,75,10.8,NO,1622178566
Kahului,20.8947,-156.47,24.78,80,20,6.69,US,1622178566
Watertown,42.3709,-71.1828,14.85,45,90,2.24,US,1622178355
Smithers,54.7804,-127.1743,7.15,91,100,1.9,CA,1622178568
Jumla,29.2747,82.1838,14.15,89,100,1.74,NP,1622178569
Butaritari,3.0707,172.7902,28.85,77,60,6.46,KI,1622178202
Cape Canaveral,28.4058,-80.6048,23.75,80,1,4.63,US,1622178474
Maniitsoq,65.4167,-52.9,1.72,85,52,3.19,GL,1622178276
Tuatapere,-46.1333,167.6833,9.9,84,100,2.22,NZ,1622178321
Dingle,10.9995,122.6711,32.3,60,67,3.07,PH,1622178573
Asău,46.4333,26.4,13.68,100,88,0.8,RO,1622178342
