City,Lat,Lng,Max Temp (C),Humidity (%),Cloudiness (%),Wind Speed (kph),Country,Date
Rikitea,-23.1203,-134.9692,22.71,70,95,7.24,PF,1622095617
Saldanha,-33.0117,17.9442,14.21,84,98,1.83,ZA,1622095746
Chui,-33.6971,-53.4616,11.64,87,31,5.02,UY,1622095747
Hobart,-42.8794,147.3294,6.71,75,75,0.89,AU,1622095600
Arraial do Cabo,-22.9661,-42.0278,21.58,89,100,3.43,BR,1622095748
Riyadh,24.6877,46.7219,36.03,13,0,0.0,SA,1622095569
Avarua,-21.2078,-159.775,27.03,89,75,4.12,CK,1622095619
Bambanglipuro,-7.95,110.2833,31.26,59,78,4.22,ID,1622095619
Barrow,71.2906,-156.7887,0.01,80,90,7.72,US,1622095619
Misratah,32.3754,15.0925,21.74,68,84,0.59,LY,1622095620
Aleksandrov Gay,50.147,48.5704,21.39,45,39,7.02,RU,1622095620
Mataura,-46.1927,168.8643,9.71,88,100,1.11,NZ,1622095620
Houston,29.7633,-95.3633,24.29,91,40,1.34,US,1622095021
Petropavlovsk-Kamchatskiy,53.0452,158.6483,7.33,66,75,1.54,RU,1622095581
Homer,59.6425,-151.5483,12.64,54,1,3.6,US,1622095622
Punta Arenas,-53.15,-70.9167,-1.05,74,26,2.69,CL,1622095342
Bluff,-46.6,168.3333,9.89,82,100,4.8,NZ,1622095622
Khorostkiv,49.2111,25.9217,15.82,85,62,3.45,UA,1622095623
Carnarvon,-24.8667,113.6333,27.04,39,2,3.6,AU,1622095623
Xichang,27.8964,102.2634,20.52,49,97,0.42,CN,1622095624
Atuona,-9.8,-139.0333,26.19,77,81,6.99,PF,1622095624
Khandyga,62.6667,135.6,18.25,30,58,1.25,RU,1622095624
Soledar,48.6794,38.089,21.1,54,100,3.19,UA,1622095625
Busselton,-33.65,115.3333,20.58,65,99,8.05,AU,1622095393
Ushuaia,-54.8,-68.3,-4.83,95,97,1.63,AR,1622095505
Yuanping,38.7153,112.7575,26.61,22,2,14.1,CN,1622095626
Chokurdakh,70.6333,147.9167,6.62,74,41,4.78,RU,1622095626
Severo-Kuril'sk,50.6789,156.125,4.17,92,100,3.61,RU,1622095627
New Norfolk,-42.7826,147.0587,6.11,67,84,0.45,AU,1622095627
Hambantota,6.1241,81.1185,31.19,70,75,10.93,LK,1622095627
Longyearbyen,78.2186,15.6401,1.91,75,40,1.54,SJ,1622095628
Tiksi,71.6872,128.8694,4.02,85,49,1.66,RU,1622095628
Mahébourg,-20.4081,57.7,27.92,76,18,2.0,MU,1622095629
Fortuna,40.5982,-124.1573,8.19,65,1,0.0,US,1622095629
Olafsvik,64.8945,-23.7142,7.36,86,49,2.76,IS,1622095629
